codice_1_liv,1_label_IT,1_label_FR,codice_2_liv,2_label_IT,2_label_FR,codice_3_liv,3_label_IT,,3_label_FR,codice_4_liv,4_label_IT,4_label_FR,,NOTE
1,pianta longitudinale,plan longitudinal,11,pianta basilicale,plan basilical,,,,,,,,,
1,pianta longitudinale,plan longitudinal,12,pianta a croce latina, plan en croix latine,,,,,,,,,
1,pianta longitudinale,plan longitudinal,12,pianta a croce latina,plan en croix latine,121,pianta a croce latina commissa,,,,,,,
1,pianta longitudinale,plan longitudinal,12,pianta a croce latina,plan en croix latine,122,pianta a croce latina immissa,,,,,,,
1,pianta longitudinale,plan longitudinal,13,pianta biassiale,,,,,,,,,,
1,pianta longitudinale,plan longitudinal,14,pianta triassiale,,,,,,,,,,
2,pianta centrale,plan centré,21,pianta a croce greca,plan en croix grecque,211,pianta a croce greca,,,,,,,
2,pianta centrale,plan centré,21,pianta a croce greca,plan en croix grecque,212,pianta a croce inscritta,,plan en croix grecque inscrite,2121,pianta a quinconce,,,
2,pianta centrale,plan centré,22,pianta quadrangolare,,221,pianta rettangolare,,plan rectangulaire,,,,,
2,pianta centrale,plan centré,22,pianta quadrangolare,,222,pianta quadrata,,,,,,,
2,pianta centrale,plan centré,22,pianta quadrangolare,,223,pianta trapezoidale,,,,,,,
2,pianta centrale,plan centré,23,pianta poligonale,,231,pianta poligonale regolare,,,,,,,
2,pianta centrale,plan centré,23,pianta poligonale,,232,pianta poligonale irregolare,,,,,,,
2,pianta centrale,plan centré,24,pianta triconca,,,,,,,,,,
2,pianta centrale,plan centré,25,pianta quadriconca,,,,,,,,,,
2,pianta centrale,plan centré,26,pianta circolare,,,,,,,,,,
2,pianta centrale,plan centré,27,pianta ovale,,271,pianta ovale ad asse traverso,pianta ovale con asse trasversale,,,,,,
2,pianta centrale,plan centré,28,pianta ellittica,,271,pianta ellittica ad asse traverso,pianta ovale con asse trasversale,,,,,,
2,pianta centrale,plan centré,29,pianta irregolare,,,,,,,,,,
